Group                    X         Points(avg)     Points(min)     Points(max)       Time(avg)       Time(min)       Time(max)    Overweight(avg)    Overweight(min)    Overweight(max)       Xsec(avg)       Xsec(min)       Xsec(max)        Unc(avg)        Unc(min)        Unc(max)    Xsec(w-mean)     Unc(w-mean)     chi2/dof      redChi2    p-value        Birge     max z_ij     Compat    UnwEff(avg)     UnwEff(min)     UnwEff(max)        ESS(avg)        ESS(min)        ESS(max)     rwgtTime(avg)     rwgtTime(min)     rwgtTime(max)     FCXsec(avg)     FCXsec(min)     FCXsec(max)     FCrwgt(avg)     FCrwgt(min)     FCrwgt(max) 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


ee_5j_s1                 5            89312303        78722302       107107382       1.667e+04       1.360e+04       2.036e+04          4.952e-04          4.577e-04          5.272e-04       7.175e+00       7.163e+00       7.180e+00       7.878e-03       7.259e-03       9.398e-03       7.175e+00       2.462e-03       4.04/9    4.493e-01   9.09e-01    6.703e-01    1.642e+00        Yes      7.194e-01       6.840e-01       7.567e-01       9.855e+04       9.853e+04       9.856e+04         9.227e+01         9.179e+01         9.313e+01       5.610e+00       5.602e+00       5.615e+00       7.819e-01       7.817e-01       7.823e-01 


ttbar_0j_s1              0             1402093         1396452         1407494       1.363e+01       1.299e+01       1.415e+01          0.000e+00          0.000e+00          0.000e+00       1.031e+03       1.030e+03       1.032e+03       5.590e-01       5.563e-01       5.612e-01       1.031e+03       1.768e-01      11.07/9    1.230e+00   2.71e-01    1.109e+00    2.528e+00        Yes      9.163e-01       9.161e-01       9.165e-01       9.978e+04       9.978e+04       9.978e+04         3.239e+00         3.185e+00         3.272e+00       7.559e+02       7.551e+02       7.565e+02       7.330e-01       7.329e-01       7.332e-01 
ttbar_1j_s1              1             4259445         4008007         4463386       5.688e+01       5.016e+01       6.497e+01          5.958e-04          4.962e-04          7.709e-04       1.018e+03       1.018e+03       1.019e+03       7.212e-01       6.824e-01       7.835e-01       1.018e+03       2.276e-01       4.89/9    5.432e-01   8.44e-01    7.370e-01    1.591e+00        Yes      7.884e-01       7.881e-01       7.887e-01       9.927e+04       9.926e+04       9.927e+04         3.876e+00         3.834e+00         3.919e+00       7.136e+02       7.133e+02       7.143e+02       7.008e-01       7.005e-01       7.011e-01 
ttbar_2j_s1              2            14142656        12421739        17207264       3.043e+02       2.446e+02       3.783e+02          6.352e-04          5.628e-04          7.167e-04       6.247e+02       6.241e+02       6.252e+02       4.718e-01       4.216e-01       5.158e-01       6.247e+02       1.482e-01       5.85/9    6.504e-01   7.54e-01    8.065e-01    1.674e+00        Yes      7.098e-01       6.837e-01       7.314e-01       9.898e+04       9.898e+04       9.899e+04         5.140e+00         5.074e+00         5.210e+00       4.402e+02       4.398e+02       4.406e+02       7.047e-01       7.043e-01       7.049e-01 
ttbar_3j_s1              3            24726372        22870056        26964415       9.887e+02       8.952e+02       1.157e+03          6.543e-04          6.079e-04          7.055e-04       3.127e+02       3.123e+02       3.131e+02       2.743e-01       2.454e-01       3.646e-01       3.127e+02       8.524e-02       6.29/9    6.994e-01   7.10e-01    8.363e-01    2.266e+00        Yes      6.855e-01       6.511e-01       7.040e-01       9.867e+04       9.866e+04       9.868e+04         1.059e+01         1.051e+01         1.078e+01       2.232e+02       2.229e+02       2.234e+02       7.138e-01       7.135e-01       7.143e-01 
ttbar_4j_s1              4            68704338        59116023        88342578       5.794e+03       4.308e+03       6.894e+03          6.079e-04          5.588e-04          6.315e-04       1.388e+02       1.385e+02       1.391e+02       1.520e-01       1.169e-01       2.919e-01       1.388e+02       4.397e-02      12.55/9    1.395e+00   1.84e-01    1.181e+00    2.854e+00        Yes      6.200e-01       5.860e-01       6.415e-01       9.830e+04       9.829e+04       9.831e+04         8.132e+01         7.955e+01         8.490e+01       1.011e+02       1.009e+02       1.013e+02       7.282e-01       7.277e-01       7.285e-01 


zz_0j_s1                 0             1186686         1185501         1187786       1.365e+01       1.291e+01       1.438e+01          0.000e+00          0.000e+00          0.000e+00       1.185e+01       1.183e+01       1.186e+01       6.048e-03       6.030e-03       6.068e-03       1.185e+01       1.913e-03      14.47/9    1.608e+00   1.07e-01    1.268e+00    2.808e+00        Yes      1.000e+00       1.000e+00       1.000e+00       1.000e+05       1.000e+05       1.000e+05         3.042e+00         2.990e+00         3.079e+00       1.185e+01       1.183e+01       1.186e+01       1.000e+00       1.000e+00       1.000e+00 
zz_1j_s1                 1             2681620         2470376         2883853       4.901e+01       4.451e+01       5.716e+01          6.980e-04          6.051e-04          7.693e-04       5.097e+00       5.091e+00       5.110e+00       3.128e-03       2.947e-03       3.489e-03       5.097e+00       9.853e-04      28.53/9    3.170e+00   7.77e-04    1.781e+00    4.179e+00         No      1.000e+00       1.000e+00       1.000e+00       1.000e+05       1.000e+05       1.000e+05         3.528e+00         3.499e+00         3.603e+00       4.531e+00       4.525e+00       4.542e+00       8.889e-01       8.889e-01       8.889e-01 
zz_2j_s1                 2            10717449        10177498        11481757       5.269e+02       4.656e+02       5.989e+02          5.978e-04          5.095e-04          6.704e-04       2.736e+00       2.731e+00       2.740e+00       1.783e-03       1.616e-03       2.170e-03       2.736e+00       5.589e-04      17.65/9    1.961e+00   3.95e-02    1.400e+00    3.184e+00         No      6.219e-01       6.193e-01       6.261e-01       9.965e+04       9.964e+04       9.965e+04         4.224e+00         4.185e+00         4.261e+00       2.258e+00       2.255e+00       2.261e+00       8.255e-01       8.253e-01       8.257e-01 
zz_3j_s1                 3            19980481        18647061        21522525       2.508e+03       2.012e+03       3.016e+03          5.096e-04          4.741e-04          5.475e-04       1.412e+00       1.407e+00       1.415e+00       1.289e-03       1.166e-03       1.457e-03       1.412e+00       4.051e-04      24.26/9    2.696e+00   3.91e-03    1.642e+00    4.114e+00         No      6.470e-01       6.250e-01       6.624e-01       9.903e+04       9.902e+04       9.904e+04         5.389e+00         5.329e+00         5.456e+00       1.113e+00       1.108e+00       1.115e+00       7.878e-01       7.874e-01       7.881e-01 
zz_4j_s1                 4            47998606        41232929        53060246       1.506e+04       1.114e+04       1.951e+04          4.535e-04          4.410e-04          4.771e-04       6.772e-01       6.746e-01       6.799e-01       7.016e-04       6.402e-04       8.081e-04       6.772e-01       2.204e-04      54.15/9    6.017e+00   1.76e-08    2.453e+00    5.241e+00         No      6.533e-01       6.047e-01       6.841e-01       9.885e+04       9.882e+04       9.887e+04         9.197e+00         9.137e+00         9.270e+00       5.153e-01       5.134e-01       5.175e-01       7.609e-01       7.604e-01       7.611e-01 
